|entidad_superior|,|departamento|,|nit|,|origen_fondos|,|nombre|,|municipio|
|MUNICIPALIDAD DE SAN LUIS, PETÉN|,|PETEN|,|6702791|,|12101709 - MUNICIPALIDAD DE SAN LUIS|,|MUNICIPALIDAD DE SAN LUIS PETÉN|,|SAN LUIS|
|MUNICIPALIDAD DE LA UNIÓN, ZACAPA|,|ZACAPA|,|6264824|,|12101909 - MUNICIPALIDAD DE LA UNION|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|LA UNION|
|ASOCIACION DEPORTIVA NACIONAL DE RUGBY|,|GUATEMALA|,|86107747|,|null|,|ASOCIACIÓN DEPORTIVA NACIONAL DE RUGBY|,|GUATEMALA|
|MUNICIPALIDAD DE SAN MANUEL CHAPARRÓN, JALAPA|,|JALAPA|,|6642942|,|12102104 - MUNICIPALIDAD DE SAN MANUEL CHAPARRON|,|DMP SAN MANUEL CHAPARRON|,|SAN MANUEL CHAPARRON|
|MUNICIPALIDAD DE LA DEMOCRACIA, ESCUINTLA|,|ESCUINTLA|,|4143957|,|12100503 - MUNICIPALIDAD DE LA DEMOCRACIA|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|LA DEMOCRACIA|
|MUNICIPALIDAD DE SAN MARTÍN SACATEPEQUEZ, QUETZALTENANGO|,|QUETZALTENANGO|,|7567561|,|12100912 - MUNICIPALIDAD DE SAN MARTMN SACATEPEQUEZ|,|MUNICIPALIDAD DE SAN MARTIN SACATEPEQUEZ|,|SAN MARTIN SACATEPEQUEZ|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO DE ESTUDIOS FOLKLÓRICOS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|UNIDAD EJECUTORA USAC/BCIE|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|EFPEM-USAC.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|SISTEMA DE ESTUDIOS POSTGRADO COORDINADORA GENERAL|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE DOCENCIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE PUBLICIDAD E INFORMACIÓN|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE HUMANIDADES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|BIENESTAR ESTUDIANTIL UNIVERSITARIO|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE ODONTOLOGIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE EXTENSION UNIVERSITARIA/EDITORIAL UNIVERSITARIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIAS PSICOLOGICAS.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|SUCHITEPEQUEZ|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FINCA SAN JULIÁN|,|PATULUL|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE SERVICIOS GENERALES|,|GUATEMALA|
