|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q1,285.31|,|4479947|,|77190513|,|2342855|,|COD. 1385 Betametasona valerato, Loción 0.1 %, frasco 50 ml. PRIMERA PROGRAMACION CUATRIMESTRAL 2016. ANEXAR INSCRIPCION DE GUATECOMPRAS, REGISTRO SANITARIO VIGENTE Y COTIZACION|,|27.enero.2016 Hora:3:38:05 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:8:30:00 a. m.|,|HOSPITAL DE ESCUINTLA|,|1|,|01.febrero.2016 Hora:3:19:42 p. m.|,|29.enero.2016 Hora:9:00:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q8,400.00|,|4411374|,|6163297|,|2342855|,|MANTENIMIENTO PREVENTIVO CUATRIMESTRAL, EQUIPO DE ULTRASONIDO SONOLINE VERSA PLUS MARCA SIEMENS MODELO GM-6502A2A00 SERIE CCA0193, P.5408/15|,|06.enero.2016 Hora:9:50:25 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|11.enero.2016 Hora:11:30:00 a. m.|,|HOSPITAL GENERAL DE ACCIDENTES CEIBAL|,|1|,|01.febrero.2016 Hora:4:11:36 p. m.|,|11.enero.2016 Hora:12:00:00 p. m.|
|Computación y telecomunicaciones|,|Terminado adjudicado|,|Q75,000.00|,|4476115|,|24408999|,|2342855|,|SERVICIO DE ENLACE DEDICADO CON CAPACIDAD DE 20MBPS PARA SEIS MESES PARA EL CONSULTORIO DEL IGSS DE JALAPA|,|25.enero.2016 Hora:3:47:58 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.enero.2016 Hora:8:00:00 a. m.|,|CONSULTORIO JALAPA, JALAPA|,|1|,|01.febrero.2016 Hora:2:35:50 p. m.|,|28.enero.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q3,428.57|,|4479289|,|7477279|,|2342855|,|COD.- 934 Hidroxicloroquina, sulfato, Tableta 400 mg. PRIMERA PROGRAMACION CUATRIMESTRAL 2016. ANEXAR INSCRIPCION DE GUATECOMPRAS, REGISTRO SANITARIO VIGENTE Y COTIZACION|,|27.enero.2016 Hora:12:01:20 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:8:30:00 a. m.|,|HOSPITAL DE ESCUINTLA|,|1|,|01.febrero.2016 Hora:11:28:59 a. m.|,|29.enero.2016 Hora:9:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q82,328.57|,|4473868|,|1700510|,|2342855|,|CODIGO 13721, EVENTO 52/2016|,|25.enero.2016 Hora:9:05:43 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.enero.2016 Hora:9:00:00 a. m.|,|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|,|1|,|01.febrero.2016 Hora:2:13:55 p. m.|,|27.enero.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q1,350.00|,|4475496|,|28583566|,|2342855|,|Clobetasol propionato, Crema o ungüento 0.05%, tubo 25-30 g|,|25.enero.2016 Hora:2:38:58 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.enero.2016 Hora:8:00:00 a. m.|,|HOSPITAL DE MAZATENANGO|,|1|,|01.febrero.2016 Hora:9:35:21 a. m.|,|27.enero.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q31,703.57|,|4487273|,|1700510|,|2342855|,|600 TIROXINA -T4-, REACTIVO PARA LA DETERMINACION DE|,|28.enero.2016 Hora:12:33:56 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:9:30:00 a. m.|,|CONSULTORIO ZACAPA, ZACAPA|,|1|,|01.febrero.2016 Hora:3:32:34 p. m.|,|29.enero.2016 Hora:10:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q523.75|,|4436245|,|41296184|,|2342855|,|Aciclovir, Polvo para suspensión 200 mg/5 ml frasco 125 ml|,|15.enero.2016 Hora:8:58:00 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|21.enero.2016 Hora:4:00:00 p. m.|,|HOSPITAL DE QUETZALTENANGO|,|1|,|01.febrero.2016 Hora:9:18:09 a. m.|,|21.enero.2016 Hora:4:30:00 p. m.|
|Limpieza, fumigación y artículos afines|,|Terminado adjudicado|,|Q40,000.00|,|4466020|,|2837765|,|2318024|,|DETERGENTE EN POLVO ALCALINO FUERTE PARA LAVANDERÍA PARA EL HOSPITAL GENERAL SAN JUAN DE DIOS.|,|21.enero.2016 Hora:2:32:38 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|22.enero.2016 Hora:2:00:00 p. m.|,|HOSPITAL GENERAL SAN JUAN DE DIOS|,|1|,|01.febrero.2016 Hora:9:33:37 a. m.|,|22.enero.2016 Hora:2:30:00 p. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q294.64|,|4474708|,|26269236|,|2342855|,|Metamizol Sódico Solución inyectable de 500 mg/ml ampolla de 2 ml, ** Ver Bases Adjuntas**|,|25.enero.2016 Hora:12:06:18 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.enero.2016 Hora:10:00:00 a. m.|,|CONSULTORIO DE GUAZACAPÁN|,|1|,|01.febrero.2016 Hora:12:00:45 p. m.|,|27.enero.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q455.36|,|4478894|,|28583566|,|2342855|,|COD. 836 Lamotrigina, Tableta 100 mg. PRIMERA PROGRAMACION CUATRIMESTRAL 2016. ANEXAR INSCRIPCION DE GUATECOMPRAS, REGISTRO SANITARIO VIGENTE Y COTIZACION.|,|26.enero.2016 Hora:3:56:51 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:9:30:00 a. m.|,|HOSPITAL DE ESCUINTLA|,|1|,|01.febrero.2016 Hora:2:01:56 p. m.|,|29.enero.2016 Hora:10:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q7,767.50|,|4474848|,|30428378|,|2342855|,|DESHIDROGENASA LÁCTICA, REACTIVO PARA LA DETERMINACIÓN DE. PRUEBA|,|25.enero.2016 Hora:11:48:49 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.enero.2016 Hora:8:00:00 a. m.|,|HOSPITAL DE MAZATENANGO|,|1|,|01.febrero.2016 Hora:9:31:15 a. m.|,|27.enero.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q63,505.00|,|4486749|,|37227114|,|2318024|,|Adquisición de Tintas y Tóner.|,|28.enero.2016 Hora:10:12:41 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:2:00:00 p. m.|,|DIRECCIÓN DE ÁREA DE SALUD DE PETÉN SUR OCCIDENTE|,|12|,|01.febrero.2016 Hora:3:39:17 p. m.|,|29.enero.2016 Hora:2:30:00 p. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q26,279.00|,|4486749|,|7127170|,|2318024|,|Adquisición de Tintas y Tóner.|,|28.enero.2016 Hora:10:12:41 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.enero.2016 Hora:2:00:00 p. m.|,|DIRECCIÓN DE ÁREA DE SALUD DE PETÉN SUR OCCIDENTE|,|12|,|01.febrero.2016 Hora:3:39:17 p. m.|,|29.enero.2016 Hora:2:30:00 p. m.|
|1. Computación y telecomunicaciones~2. Electricidad y aire acondicionado~3. Salud e insumos hospitalarios~4. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q82,814.40|,|4472217|,|8054681|,|2318024|,|PRODUCTOS VARIOS PARA SER USADOS EN EL DEPARTAMENTO DE ESTOMATOLOGIA PARA EL HOSPITAL GENERAL SAN JUAN DE DIOS.|,|22.enero.2016 Hora:3:29:24 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|26.enero.2016 Hora:8:00:00 a. m.|,|HOSPITAL GENERAL SAN JUAN DE DIOS|,|18|,|01.febrero.2016 Hora:9:29:23 a. m.|,|26.enero.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q200.00|,|4443306|,|79065473|,|2342855|,|Óxido de zinc y calamina, Loción, frasco 120 ml|,|14.enero.2016 Hora:7:10:56 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|21.enero.2016 Hora:4:00:00 p. m.|,|HOSPITAL DE QUETZALTENANGO|,|1|,|01.febrero.2016 Hora:9:50:17 a. m.|,|21.enero.2016 Hora:4:30:00 p. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q88,129.46|,|4445945|,|7950837|,|2342855|,|COD. 10574 RUPATADINA FUMARATO COMPRIMIDO 10 MG.|,|19.enero.2016 Hora:10:21:51 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|22.enero.2016 Hora:8:00:00 a. m.|,|UNIDAD PERIFERICA ZONA 11|,|1|,|01.febrero.2016 Hora:9:09:39 a. m.|,|22.enero.2016 Hora:8:30:00 a. m.|
|1. Computación y telecomunicaciones~2. Construcción y materiales afines~3. Muebles y mobiliario de oficina~4. Papelería y artículos de librería~5. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q7,185.94|,|4472357|,|4435028|,|2342855|,|LISTADO 376-2016 TONER PARA IMPRESORA HP LASERJET 1320 (49X)|,|22.enero.2016 Hora:3:49:33 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|26.enero.2016 Hora:9:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|1|,|01.febrero.2016 Hora:2:21:47 p. m.|,|26.enero.2016 Hora:9:30:00 a. m.|
