|entidad_superior|,|departamento|,|nit|,|origen_fondos|,|nombre|,|municipio|
|MUNICIPALIDAD DE SAN LUIS, PETÉN|,|PETEN|,|6702791|,|12101709 - MUNICIPALIDAD DE SAN LUIS|,|MUNICIPALIDAD DE SAN LUIS PETÉN|,|SAN LUIS|
|FEDERACION NACIONAL DE TAEKWON-DO|,|GUATEMALA|,|6124127|,|11300092 - FEDERACION NACIONAL DE TAEKWON-DO|,|FEDERACION NACIONAL DE TAEKWONDO|,|GUATEMALA|
|FIDEICOMISO PARA LA PLANIFICACION Y DESARROLLO DEL MUNICIPIO DE VILLA NUEVA|,|GUATEMALA|,|37253107|,|12100115 - MUNICIPALIDAD DE VILLA NUEVA|,|FIDEVILLANUEVA|,|VILLA NUEVA|
|MUNICIPALIDAD DE SAN MANUEL CHAPARRÓN, JALAPA|,|JALAPA|,|6642942|,|12102104 - MUNICIPALIDAD DE SAN MANUEL CHAPARRON|,|DMP SAN MANUEL CHAPARRON|,|SAN MANUEL CHAPARRON|
|MUNICIPALIDAD DE LA DEMOCRACIA, ESCUINTLA|,|ESCUINTLA|,|4143957|,|12100503 - MUNICIPALIDAD DE LA DEMOCRACIA|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|LA DEMOCRACIA|
|MUNICIPALIDAD DE LA DEMOCRACIA, ESCUINTLA|,|ESCUINTLA|,|4143957|,|12100503 - MUNICIPALIDAD DE LA DEMOCRACIA|,|UNIDAD FINANCIERA|,|LA DEMOCRACIA|
|MUNICIPALIDAD DE SAN MARTÍN SACATEPEQUEZ, QUETZALTENANGO|,|QUETZALTENANGO|,|7567561|,|12100912 - MUNICIPALIDAD DE SAN MARTMN SACATEPEQUEZ|,|MUNICIPALIDAD DE SAN MARTIN SACATEPEQUEZ|,|SAN MARTIN SACATEPEQUEZ|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|UNIDAD EJECUTORA USAC/BCIE|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|EFPEM-USAC.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|SISTEMA DE ESTUDIOS POSTGRADO COORDINADORA GENERAL|,|GUATEMALA|
