|entidad_superior|,|departamento|,|nit|,|origen_fondos|,|nombre|,|municipio|
|MUNICIPALIDAD DE SAN LUIS, PETÉN|,|PETEN|,|6702791|,|12101709 - MUNICIPALIDAD DE SAN LUIS|,|MUNICIPALIDAD DE SAN LUIS PETÉN|,|SAN LUIS|
|FIDEICOMISO PARA LA PLANIFICACION Y DESARROLLO DEL MUNICIPIO DE VILLA NUEVA|,|GUATEMALA|,|37253107|,|12100115 - MUNICIPALIDAD DE VILLA NUEVA|,|FIDEVILLANUEVA|,|VILLA NUEVA|
|MUNICIPALIDAD DE SAN MANUEL CHAPARRÓN, JALAPA|,|JALAPA|,|6642942|,|12102104 - MUNICIPALIDAD DE SAN MANUEL CHAPARRON|,|DMP SAN MANUEL CHAPARRON|,|SAN MANUEL CHAPARRON|
|MUNICIPALIDAD DE SAN MARTÍN SACATEPEQUEZ, QUETZALTENANGO|,|QUETZALTENANGO|,|7567561|,|12100912 - MUNICIPALIDAD DE SAN MARTMN SACATEPEQUEZ|,|MUNICIPALIDAD DE SAN MARTIN SACATEPEQUEZ|,|SAN MARTIN SACATEPEQUEZ|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|QUETZALTENANGO|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CUNOC|,|QUETZALTENANGO|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|EFPEM-USAC.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|SISTEMA DE ESTUDIOS POSTGRADO COORDINADORA GENERAL|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCIÓN DE ASUNTOS JURÍDICOS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|INSTITUTO DE INVESTIGACIONES  ECONÓMICAS Y SOCIALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|BIBLIOTECA CENTRAL.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE PUBLICIDAD E INFORMACIÓN|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FARMACIA UNIVERSITARIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE HUMANIDADES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|BIENESTAR ESTUDIANTIL UNIVERSITARIO|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE EXTENSION UNIVERSITARIA/DEPARTAMENTO DE DEPORTES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|EL PROGRESO|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE EL PROGRESO|,|GUASTATOYA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE ODONTOLOGIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE EXTENSION UNIVERSITARIA/EDITORIAL UNIVERSITARIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE IZABAL/ADMINISTRACION|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|QUICHE|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE QUICHÉ|,|SANTA CRUZ DEL QUICHE|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|SUCHITEPEQUEZ|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FINCA SAN JULIÁN|,|PATULUL|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|JUTIAPA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE JUTIAPA|,|JUTIAPA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|PLAN DE PRESTACIONES.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE SERVICIOS GENERALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA HISTORIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE ADMINISTRACION|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|RECTORIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE DOCENCIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|SAN MARCOS|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE SAN MARCOS. -CUSAM-.|,|SAN MARCOS|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|TOTONICAPAN|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE TOTONICAPÁN|,|TOTONICAPAN|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE AGRONOMIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIAS FÍSICAS Y MATEMÁTICAS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|,|GUATEMALA|
