|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|1. Computación y telecomunicaciones~2. Electricidad y aire acondicionado~3. Muebles y mobiliario de oficina~4. Papelería y artículos de librería~5. Publicidad, campañas y vallas~6. Textiles, ropa y calzado~7. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q6,852.00|,|5734363|,|89286960|,|3377938|,|LA UNIDAD DE ADMINISTRACIÓN FINANCIERA SOLICITA COMPRA DE TELÉFONOS INHALÁMBRICOS Y VENTILADORES DE 48 PULAGADAS.|,|29.noviembre.2016 Hora:3:33:14 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.diciembre.2016 Hora:8:00:00 a. m.|,|DIRECCION SUPERIOR|,|2|,|01.diciembre.2016 Hora:2:58:56 p. m.|,|01.diciembre.2016 Hora:8:30:00 a. m.|
|1. Construcción y materiales afines~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q10,500.00|,|5710316|,|27488446|,|6632580|,|ADQUISICIÓN DE INSUMOS PARA EL USO EN EL MONUMENTO NATURAL SEMUC CHAMPEY, DE LANQUIN A.V.|,|22.noviembre.2016 Hora:2:43:41 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|24.noviembre.2016 Hora:9:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS|,|1|,|01.diciembre.2016 Hora:3:56:20 p. m.|,|24.noviembre.2016 Hora:9:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q145,150.00|,|5648254|,|65677889|,|6251897|,|MEJORAMIENTO ESCUELA PRIMARIA RURAL MIXTA, CASERIO SAN BENITO PACAYA, COATEPEQUE, QUETZALTENANGO|,|16.noviembre.2016 Hora:7:23:49 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|29.noviembre.2016 Hora:9:00:00 a. m.|,|DIRECCION DE ADMINISTRACIÓN FINANCIERA INTEGRADA MUNICIPAL|,|1|,|01.diciembre.2016 Hora:5:10:42 p. m.|,|29.noviembre.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,750.89|,|5719828|,|22345388|,|2342855|,|CODIGO IGSS 10,859 LINAGLIPTINA, TABLETAS RECUBIERTAS 5 MG|,|24.noviembre.2016 Hora:2:52:24 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.noviembre.2016 Hora:8:30:00 a. m.|,|CENTRO DE ATENCIÓN MÉDICA INTEGRAL PARA PENSIONADOS CAMIP 3 ZUNIL|,|1|,|01.diciembre.2016 Hora:4:36:56 p. m.|,|28.noviembre.2016 Hora:9:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q23,296.00|,|5679605|,|75614200|,|2318024|,|Màscara laringea: Balón:Ajustable Proseal NUMEROS 3 Y 4, PARA EL HOSPITAL GENERAL SAN JUAN DE DIOS|,|15.noviembre.2016 Hora:3:11:47 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|17.noviembre.2016 Hora:8:00:00 a. m.|,|HOSPITAL GENERAL SAN JUAN DE DIOS|,|2|,|01.diciembre.2016 Hora:12:50:54 p. m.|,|17.noviembre.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q225.18|,|5717043|,|22339655|,|2342855|,|CODIGO IGSS 62, NISTATINA, SUSPENSIÓN 100,000 UI/ML FRASCO GOTERO 30 ML|,|23.noviembre.2016 Hora:3:47:59 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|25.noviembre.2016 Hora:8:30:00 a. m.|,|CENTRO DE ATENCIÓN MÉDICA INTEGRAL PARA PENSIONADOS CAMIP 3 ZUNIL|,|1|,|01.diciembre.2016 Hora:4:29:48 p. m.|,|25.noviembre.2016 Hora:9:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,985.00|,|5683750|,|5686792|,|2318024|,|Piperacilina/Tazobactam polvo liofilizado 4 g/0.5g Vial, Presentar estudios de eficacia y seguridad|,|16.noviembre.2016 Hora:12:30:02 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|18.noviembre.2016 Hora:8:00:00 a. m.|,|HOSPITAL GENERAL SAN JUAN DE DIOS|,|1|,|01.diciembre.2016 Hora:11:03:15 a. m.|,|18.noviembre.2016 Hora:8:30:00 a. m.|
|Computación y telecomunicaciones|,|Terminado adjudicado|,|Q7,300.00|,|5667364|,|89771125|,|19602227|,|COMPRA DE DOS (2) TELEVISORES LED PANTALLA PLANA DE 43|,|11.noviembre.2016 Hora:1:53:50 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|15.noviembre.2016 Hora:8:00:00 a. m.|,|DIRECCION DE CATASTRO Y ADMINISTRACION DE IUSI|,|1|,|01.diciembre.2016 Hora:9:03:15 a. m.|,|15.noviembre.2016 Hora:8:30:00 a. m.|
|1. Transporte, repuestos y combustibles~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q29,500.00|,|5741726|,|321052|,|3377784|,|200 cupones de combustible con denominación de Q. 100.00 c/u190 cupones de combustible con denominación de Q. 50.00 c/u|,|01.diciembre.2016 Hora:3:21:48 p. m.|,|Adquisición Directa por Ausencia de Oferta (Art. 32 LCE)|,|Sólo en papel.|,|01.diciembre.2016 Hora:3:30:00 p. m.|,|VICEPRESIDENCIA DE LA REPUBLICA|,|1|,|01.diciembre.2016 Hora:5:04:13 p. m.|,|01.diciembre.2016 Hora:4:00:00 p. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q572,812.85|,|5652022|,|47041927|,|6180868|,|MEJORAMIENTO CARRETERAS DE TERRACERIA BALASTADO SECTOR PACOC Y SECTOR CHUABALINYÁ, PATZICIA, CHIMALTENANGO|,|14.noviembre.2016 Hora:12:07:43 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|25.noviembre.2016 Hora:8:00:00 a. m.|,|OFICINA MUNICIPAL DE PLANIFICACION|,|1|,|01.diciembre.2016 Hora:10:44:46 a. m.|,|25.noviembre.2016 Hora:8:30:00 a. m.|
