|entidad_superior|,|departamento|,|nit|,|origen_fondos|,|nombre|,|municipio|
|MUNICIPALIDAD DE SAN LUIS, PETÉN|,|PETEN|,|6702791|,|12101709 - MUNICIPALIDAD DE SAN LUIS|,|MUNICIPALIDAD DE SAN LUIS PETÉN|,|SAN LUIS|
|FIDEICOMISO PARA LA PLANIFICACION Y DESARROLLO DEL MUNICIPIO DE VILLA NUEVA|,|GUATEMALA|,|37253107|,|12100115 - MUNICIPALIDAD DE VILLA NUEVA|,|FIDEVILLANUEVA|,|VILLA NUEVA|
|MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS, SACATEPÉQUEZ|,|SACATEPEQUEZ|,|6248608|,|12100309 - MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|SANTA LUCIA MILPAS ALTAS|
|MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS, SACATEPÉQUEZ|,|SACATEPEQUEZ|,|6248608|,|12100309 - MUNICIPALIDAD DE SANTA LUCIA MILPAS ALTAS|,|COMPRAS|,|SANTA LUCIA MILPAS ALTAS|
|MUNICIPALIDAD DE SAN MANUEL CHAPARRÓN, JALAPA|,|JALAPA|,|6642942|,|12102104 - MUNICIPALIDAD DE SAN MANUEL CHAPARRON|,|DMP SAN MANUEL CHAPARRON|,|SAN MANUEL CHAPARRON|
|MUNICIPALIDAD DE LA DEMOCRACIA, ESCUINTLA|,|ESCUINTLA|,|4143957|,|12100503 - MUNICIPALIDAD DE LA DEMOCRACIA|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|LA DEMOCRACIA|
|MUNICIPALIDAD DE SAN MARTÍN SACATEPEQUEZ, QUETZALTENANGO|,|QUETZALTENANGO|,|7567561|,|12100912 - MUNICIPALIDAD DE SAN MARTMN SACATEPEQUEZ|,|MUNICIPALIDAD DE SAN MARTIN SACATEPEQUEZ|,|SAN MARTIN SACATEPEQUEZ|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|BIBLIOTECA CENTRAL.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE PUBLICIDAD E INFORMACIÓN|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE HUMANIDADES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|BIENESTAR ESTUDIANTIL UNIVERSITARIO|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIAS PSICOLOGICAS.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE SERVICIOS GENERALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|RECTORIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE DOCENCIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|SAN MARCOS|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE SAN MARCOS. -CUSAM-.|,|SAN MARCOS|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE AGRONOMIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|BAJA VERAPAZ|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE BAJA VERAPÁZ|,|SALAMA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCIÓN GENERAL DE INVESTIGACIÓN/FONDO DE INVESTIGACION|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|QUETZALTENANGO|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CUNOC|,|QUETZALTENANGO|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|JALAPA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE SUR-ORIENTE    -CUNSURORI-|,|JALAPA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIAS LINGUISTICAS/CALUSAC.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE INGENIERIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS ECONOMICAS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS MÉDICAS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|PETEN|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE PETEN -CUDEP-|,|SAN BENITO|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE ODONTOLOGIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|UNIDAD COMPRADORA CENTRAL / DEPARTAMENTO DE PROVEEDURÍA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIA POLITICA|,|GUATEMALA|
|MUNICIPALIDAD DE CONCEPCIÓN, SOLOLÁ|,|SOLOLA|,|6793371|,|12100708 - MUNICIPALIDAD DE CONCEPCION|,|TESORERIA MUNICIPAL CONCEPCION SOLOLA|,|CONCEPCION|
|MUNICIPALIDAD DE SAN GASPAR IXCHIL, HUEHUETENANGO|,|HUEHUETENANGO|,|2844633K|,|12101329 - MUNICIPALIDAD DE SAN GASPAR IXCHIL|,|OFICINA Y DIRECCIÓN MUNICIPAL DE PLANIFICACION|,|SAN GASPAR IXCHIL|
|ORGANISMO JUDICIAL|,|QUETZALTENANGO|,|3377725|,|11120002 - ORGANISMO JUDICIAL|,|UNIDAD DE COMPRAS REGIONAL DE QUETZALTENANGO|,|QUETZALTENANGO|
|ORGANISMO JUDICIAL|,|GUATEMALA|,|3377725|,|11120002 - ORGANISMO JUDICIAL|,|SECRETARIA DE COMUNICACION SOCIAL Y PROTOCOLO|,|GUATEMALA|
